Station;x;y;class
FA05;31.225;62.556;0
FB07;29.606;62.131;0
FB09;28.206;61.471;0
FC04;30.416;63.431;0
FC05;29.876;63.061;0
FD05;29.246;63.351;1
FD10;26.076;61.441;1
FD13;24.657;60.51;1
FE09;26.316;62.112;0
FF07;26.596;63.191;1
FF11;24.296;61.801;0
FF15;22.446;60.421;0
FF30;29.107;64.491;1
FF90;25.476;62.491;0
FG01;29.567;65.441;0
FH03;27.617;65.061;1
FH05;26.517;64.361;1
FH07;25.206;63.681;1
FJ10;22.678;63.043;1
RUKSA;32.2;62.1;1
KEMI;34.67;65.04;1
PITK;31.3;61.7;0
LP01;27.51;65.45;1
FF05;27.99;63.82;1
LP12;26.41;65.9;0
LP21;25.03;66.04;0
LP31;24.09;66.59;1
LP33;27.34;66.97;0
LP35;29.36;67.36;1
LP43;27.78;67.78;1
LP51;23.64;67.46;1
LP52;25.09;67.58;1
LP53;27.19;68.08;1
LP54;28.32;68.47;1
LP62;25.78;68.16;0
LP65;28.32;68.85;1
LP71;24.7;68.48;1
LP72;25.71;68.95;1
OUL;25.9;65.09;0
SGF;26.53;67.44;0
MSF;28.85;65.91;0
RNF;26.01;66.61;0
HEF;23.66;68.41;1
VRF;29.61;67.75;1
KEV;27;69.76;1
KIF;20.8;69.04;1
KU6;29.89;66.02;1
SAL;18.51;67.38;1
PAJ;23.11;67.02;1
MAS;22;67.46;1
ERT;22.19;66.55;1
HAR;20.98;66.16;1
HH;25.829;67.934;0
HP;26.453;67.637;0
HR;29.145;66.177;0
HQ;29.061;65.913;0
HS;28.373;65.247;1
HK;30.569;64.746;1
F5;25.093;66.951;0
F6;24.836;67.125;1
