Station;x;y;z
FA05;31.219;62.555;48.14
FB07;29.6;62.13;55.1
FB09;28.2;61.47;59.3
FB11;27.02;60.79;42.3
FC04;30.41;63.43;55.6
FC05;29.87;63.06;52.3
FD05;29.24;63.35;57.2
FD07;28.0;62.66;57.4
FD10;26.07;61.44;57.8
FD13;24.65;60.51;48.3
FE09;26.31;62.11;59.91
FF05;27.99;63.82;52.1
FF07;26.59;63.19;58.6
FF11;24.29;61.8;55.8
FF15;22.44;60.42;56.5
FF30;29.1;64.5;58.0
FF90;25.47;62.48;66.1
FG01;29.56;65.44;37.16
FH03;27.61;65.06;56.0
FH05;26.51;64.36;55.0
FH07;25.2;63.68;55.03
FJ01;28.31;66.04;55.0
FJ10;22.67;63.04;58.0
RUKSA;32.2;62.1;40.0
LP01;27.51;65.45;56.0
LP11;25.49;65.51;44.0
LP12;26.41;65.9;44.0
LP21;25.03;66.04;43.0
LP31;24.09;66.59;47.0
LP33;27.34;66.97;46.0
LP35;29.36;67.36;45.0
LP43;27.78;67.78;47.0
LP51;23.64;67.46;49.0
LP52;25.09;67.58;43.0
LP53;27.19;68.08;49.0
LP54;28.32;68.47;46.0
LP61;23.93;67.91;45.0
LP62;25.78;68.16;44.0
LP65;28.32;68.85;44.0
LP71;24.7;68.48;50.0
LP72;25.71;68.95;52.0
LP75;29.11;69.67;49.0
OUL;25.9;65.09;42.0
SGF;26.53;67.44;48.0
MSF;28.85;65.91;58.0
RNF;26.01;66.61;45.0
HEF;23.66;68.41;44.0
VRF;29.61;67.75;43.0
KEV;27.0;69.76;57.0
KIF;20.8;69.04;46.0
KU6;29.89;66.02;56.0
ARE0;25.51;69.53;48.0
SAL;18.51;67.38;46.0
PAJ;23.11;67.02;46.0
MAS;22.0;67.46;47.0
ERT;22.19;66.55;44.0
HAR;20.98;66.16;44.0
PITK;31.25;61.67;43.0
KEMI;34.67;65.03;38.0
APA;33.3;67.6;40.0
LVZ;34.6;67.9;40.0
